A	B	C	label
又在诋毁社会主义者！诋毁斯大林！马克思的两个部类的分类，就强调生产生产资料领域必须处于优先地位，并且马克思还区分了价值（资本）的扩大再生产，与物质的扩大再生产的区别，《资本论》指出物质的扩大再生产与资本的扩大再生产无关！共产主义只需要后者。而两个部类的区分是明明白白的写在苏联的社会主义政治经济学中的！	你读19世纪旧书不会外语，看21世纪新书就怕，思而不学搞的那点玩意就别拿出来逗乐了。	我觉得你才是学而不思，社会为什么非要为利润而生产？？？？你的逻辑很多时候都相互打架，你提到重工业可以实现指数性增长，按你的这种逻辑技术进步只能越来越快，但GDP为什么越来趋于与人劳动力相关的自然增长率？GDP增长率就是社会的平均利润率。产量代表技术生产率可以几年翻一翻，但产值可能不怎么增长，还可能下降，无论美国或者苏联后期很多行业都这样，如苏联的化纤工业77年到80年完全翻了一翻，但是产值几没有变化。	others
说明名字好啊	我想知道的是我这个帖子发了一个月了，怎么这几天突然这么多点赞的	你的回答被一个比较大的收藏夹收录了，哈哈。	happy
即将去韩国釜山读本科的学生一枚问点问题	我去现在才看到这是八月的贴子	哈哈没关系还是很谢谢你热心的解答现在我在釜山新罗大学读语言你在哪读	happy
po出来聊天记录的并不是老师	算了，楼都盖偏了，大概老师也是接到上级通知吧。。。	1	others
谢谢谢谢你v好嗨皮啊	这个组有这样的翻译达人就不用一家人苦等苦求翻译了再次感谢	木有木有我才是好开心第一次翻译胆战心惊怕被达人们纠错纠到吐血现在被表扬觉得好激动	happy
王尼玛点赞你了，会火	对呀  手机版是不是看不到点赞人呀？	看得到	others
那是否本身计划经济药丸呢……督工可没回答这个问题	唉，你这是南辕北辙，还要加强学习。	解释一下吧	others
可能赵丽颖也像你朋友这样吧，真的是学不会	这不是厉不厉害的问题，而是在这个发音上我们碰巧有优势。有人发不了卷舌音，有人发不了小舌音，你自然也有怎么练都发不出来的音。	现在她到底有没有去好好练过是存疑的，如果她请了口语老师训练，还是没练好，那只能说天意捉弄。如果她只是自己关门练练，没说好，那可能的确是没有重视这回事。如果她压根就没有练过，那可能就没当回事吧。就这三个结论，供你选择	others
全篇都在说自己怕死，那么你做手术就必须会切到自己吗？执业基本的素养都没有，你转行还真是对了。或者说你的心智根本不适合干这一行，白读20年书也不知道是浪费了谁的生命。	基本的素养，站在道德的制高点上。。。。。就是手一抖，直接这辈子玩完，你的家庭，你的父母朋友，你的工作，你的生命，全在一刀毫厘之间。人家最后还是做了手术，然后离职。你来试试？？	你既然知道你自己手要抖，为什么还做外科医生？不谈艾滋不艾滋，就是普通手术，你手抖一刀下去割到病人的其他组织器官，后果好玩吗？你连职业底线都达不到，凭什么让病人为你的手抖买单？	others
既然你这么说，那你的观点是什么?    还是仅仅为了反驳而反驳？	我的观点是，把自己装在袋子里的穆斯林女性一样被强奸，你的不立于危墙之下在这个话题下就是一句空话。	哦，不是一定，是一样	others
有时候就是争口气，我也干过这事，今年尼伯特台风登陆的时候我怕车停地下车库被淹了，于是停在了小区地面，特意找个周围没树没房子的空旷地，结果第二天起床台风没登陆，车被哪个杀千刀的给蹭了大片油漆，人家跑了，想报保险吧说明年保费肯定上涨，报警吧人家不理这鸡毛蒜皮的事，于是我到小区监控查了十多的小时的监控画面，可是因为角度和灯光的关系，啥都没查到，最后只好自己掏腰包修车。有时候不是多少钱的事，真的是气不过，理解你爷爷，点个赞👍。	如果被淹，保险难道不赔吗？	没买涉水险保险是不赔的，而且也不希望车被淹吧	others
据来自上游供应链的消息人士透露，iWatch 的良品率不到 50%，原因是其在对金属喷射成型 (MIM) 底盘进行表面处理时遇到了难题。	如果苹果9月发布iwatch，11月发售，那还有将近一年的时间可以改进工艺，应该不是大问题	我也希望如此 ：）	others
每任top2要至少干10年的，如果上任的前面3年大力投入教育，后面7年投入少点，会不会卸任前已有效果，	有些效果见效快，比如硬件，盖个楼，修个操场，引进一些教具。但是软件，也就是教学内容或者老师的教学方式，这个需要几届学生的适应和调整。	美国总统最多只有8年，评价照样啊。中国top2却是至少10年呢，哎，我大x自有国情在此	others
出轨你要怎么惩罚？枪毙好不好？付一辈子赡养费？请问你是结婚还是在卖身？出轨首先，永远是夫妻两个人的问题，而不是出轨方单方面的问题。这是一个感情问题引发的道德问题。	您明明自己就认为女人是张椅子，如果他们满足不了夫妻之间每天都甜甜蜜蜜的需求，你就觉得对方不适合自己，于是你就决定找下一个，这样来看，出轨的确是感情问题呢，而且这是每个人都会遇到的感情问题。问题就是为什么有的人不会出轨，有的人会出。事实上，每一对夫妻到最后，恪守的是亲情，是责任，如果出轨，不如说这个人在面对感情问题的时候，选择了满足自我，抛弃了责任。你说这个责任在两人还是在出轨方单方？	每对夫妻到最后都是恪守责任？我为你的婚姻感到悲哀……这样的婚姻继续下去也是悲剧，不如你老公早点出轨才是正道。	sad
你说对吗？:)这个社会真是谁弱谁有理，富人就不该得到竞争的成果。要不是社会道德制约依靠自然生存法则穷的人早就被淘汰了不去努力提升自己学个大学科目就只为一切了。当较富裕的考雅思，考MBA考会计各种证你特么仅仅只是基础大学课程拿了一些高分你凭什么就比别人优秀？就凭你穷？然而，谁不嫌钱多呢？你说呢？至少我在大学，奖学金玩手段的，不富裕更多。 家里稳定的谁会在乎这个几千呢？可怜之人必有可恨之处家庭教育的不足，你也很心知肚明吧。:)	拥有资格拿国家助学金的穷孩子本来应该顺理成章的拿助学金，何来您说的明争暗斗？您说五千元的助学金是毫毛，您不知道这笔钱对于家境贫寒的孩子意味着什么。而且您一直在转移话题。题主的用意在于揭示a同学的自私行为。您却一直再扯别的。难道a同学不自私吗？	我发表个自己的意见，你们来评论我的意见。我欢迎，你给我扯答主？？不知道谁在扯。	others
其实是高二。悄悄的。	心疼老师也心疼你们 附中的很多好高考后才明白 我也才明白	附中好这事儿只要脑子清楚都知道。笑眯眯摊手。其实来就是单纯觉得学校这次处理举报的措施还有一些校友看见答主这条后的反应太过了。	others
不去争取难道权利会自动掉在你身上？	你去争取也没用，因为政府不是我们选出来的，基层群众的声音是完全可以无视的，至于反抗....基层群众拿什么反抗？在网络上吗？	起码现在舆论媒体可以对zf施加压力，制度是要时间和每个人的努力来完善的，不是坐着就什么都有	others
这位律师，不知这样称呼你是否合适，因为从你的言谈中给我的感觉一股浓郁的地方法律工作者气息，就说你那个Ems收证件的事吧，自己臆想的不代表实际发生的，没这种送达证件或者法律文书的快递你和淘宝收快递比，可笑不？	你这样自欺欺人的作法咱也只能无语了，律师也是人，老百姓也是人，为何要搞的律师多么特殊一样呢	你可以把上面的律师改成各种职业，然后答主的回复就没有任何意义了，比如改成警察、法官、各种领导等等。	others
上一代会继续把他们的思维强加给我们这一代。承上启下这代，心理最苦，尤其女性，要面对的压力太多了。	单身狗的我因为太我行我素故一直单身即使以后真的会结婚，依旧还是我最吊你对我好，我会加倍对你好反之，你是谁？	自己最重要	others
生活的智慧可不是能用学历衡量的呀，人生的际遇也是各个不同呢	如果时间可以重来，您会改变什么呢？目前我刚大学毕业，有点担忧中年时的绝望，希望您能给点建议。盼回	更少拖延 更多细致 不找熟人抱怨	others
少搭理他过自己的	我感情也一些敏感可以说的具体些吗	自己该干什么干什么其实少些期待惊喜就会多一点我这只最近心情不好我主动他爱搭不稀理的我都做好随时他大姨夫来把我蹬了的准备了	sad
这……哪的哥们啊？真想坑他一下	哈哈哈，好想看续集之他继续被人坑的故事啊	找到人继续坑一下，期待	others
昨天晚上12点给男神表白了男神没理我附送一个	喜闻乐见哦	谢谢谢谢你们喜闻乐见就好快把你们的快乐建立在lz的痛苦之上其实lz现在不难过不心疼不想哭尼玛lz心里有点空啊	sad
其实不只是司考证的问题。很多助理都是有证的，也是原来的主力办案群体，可是现在员额了，强制把原本一样的群体划分了三六九等，很多人很有意见。	他是说检察官序列和司法行政序列的工资不一样	我们这行政人员和司法辅助人员的工资是一样的。	others
